starred;authors;titleofpublication;typeofcontribution;conference;acronym;location;yearofpublication;dates;doiorwebaddress;presented;isse;issec;isai;report
0;Davide Taibi, Valentina Lenarduzzi, Claus Pahl, \& Andrea Janes;Microservices in agile software development: a workshop-based study into issues, advantages, and disadvantages;Workshop paper;18th International Conference in Software Engineering and Extreme Programming Scientific Workshops;XP;Cologne, Germany;2017;May 22--26;https://doi.org/10.1145/3120459.3120483;0;1;;;0
0;Davide Taibi, Valentina Lenarduzzi, Andrea Janes, Kari Liukkunen, \& Muhammad Ovais Ahmad;Comparing Requirements Decomposition Within the Scrum, Scrum with Kanban, XP, and Banana Development Processes;Conference paper;18th International Conference in Software Engineering and Extreme Programming;XP;Cologne, Germany;2017;May 22--26;https://doi.org/10.1007/978-3-319-57633-6\_5;0;1;;;0
0;Andrea Janes, Michael Mairegger, \& Barbara Russo;code\_call\_lens: raising the developer awareness of critical code;Tool demonstration;33rd ACM/IEEE International Conference on Automated Software Engineering;ASE;Montpellier, France;2018;September 3--7;https://doi.org/10.1145/3238147.3240488;1;1;1;1;0
1;Alberto Avritzer, Vincenzo Ferme, Andrea Janes, Barbara Russo, Henning Schulz, \& André van Hoorn;A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing;Conference paper;12th European Conference on Software Architecture;ECSA;Madrid, Spain;2018;September 24–-28;https://doi.org/10.1007/978-3-030-00761-4\_11;1;1;;;0
0;Romain Robbes \& Andrea Janes;Leveraging small software engineering data sets with pre-trained neural networks;Conference paper;41st International Conference on Software Engineering: New Ideas and Emerging Results;ICSE-NIER;Montreal, QC, Canada;2019;May 27;https://doi.org/10.1109/ICSE-NIER.2019.00016;0;1;;1;0
0;Alberto Avritzer, Daniel S. Menasché, Vilc Queupe Rufino, Barbara Russo, Andrea Janes, Vincenzo Ferme, André van Hoorn, \& Henning Schulz;PPTAM: Production and Performance Testing Based Application Monitoring;Tool demonstration;ACM/SPEC International Conference on Performance Engineering;ICPE;Mumbai, India;2019;April 7--11;https://doi.org/10.1145/3302541.3311961;0;1;;;0
0;Romain Robbes, Mircea Lungu, \& Andrea Janes;API fluency;Conference paper;41st International Conference on Software Engineering: New Ideas and Emerging Results;ICSE-NIER;Montreal, QC, Canada;2019;May 27;https://doi.org/10.1109/ICSE-NIER.2019.00033;1;1;1;;0
0;Andrea Janes \& Barbara Russo;Automatic Performance Monitoring and Regression Testing During the Transition from Monolith to Microservices;Workshop paper;IEEE International Symposium on Software Reliability Engineering Workshops;ISSREW;Berlin, Germany;2019;October 27--30;https://doi.org/10.1109/ISSREW.2019.00067;1;1;;;0
1;Rafael-Michael Karampatsis, Hlib Babii, Romain Robbes, Charles Sutton, \& Andrea Janes;Big code != big vocabulary: open-vocabulary models for source code;Conference paper;42nd International Conference on Software Engineering;ICSE;Seoul, South Korea;2020;June 27--July 19;https://doi.org/10.1145/3377811.3380342;0;1;;1;0
0;Rafael-Michael Karampatsis, Hlib Babii, Romain Robbes, Charles Sutton, \& Andrea Janes;Open-vocabulary models for source code;Conference paper;42st International Conference on Software Engineering: New Ideas and Emerging Results;ICSE-NIER;Seoul, South Korea;2020;June 27--July 19;https://doi.org/10.1145/3377812.3390806;0;1;;1;0
0;Andrea Janes \& Valentina Lenarduzzi;Towards an Approach to Identify Obsolete Features based on Importance and Technical Debt;Conference paper;46th Euromicro Conference on Software Engineering and Advanced Applications;SEAA;Portoroz, Slovenia;2020;August 26--28;https://doi.org/10.1109/SEAA51224.2020.00070;1;1;1;1;0
